Route,Day,Route_Num,Stops,Miles,Cube_ft3,Van_Capacity,Util_Pct,Overnight,Drive_h,Duty_h,Feasible,Order_IDs,Route_Sequence
Mon R1,Mon,1,8,382.0,2615,3200,81.7,No,9.55,13.79,Yes,0 → 104 → 14 → 241 → 85 → 87 → 250 → 109 → 128 → 0,"0 (DC) → 104 (Hartford,CT) → 14 (Farmington,CT) → 241 (Bethany,CT) → 85 (Fairfield,CT) → 87 (Wilton,CT) → 250 (Hamden,CT) → 109 (Middletown,CT) → 128 (Middletown,CT) → 0 (DC)"
Mon R2,Mon,2,8,173.0,2840,3200,88.8,No,4.32,8.66,Yes,0 → 132 → 28 → 70 → 209 → 244 → 162 → 23 → 255 → 0,"0 (DC) → 132 (North Berwick,ME) → 28 (Boston,MA) → 70 (Boston,MA) → 209 (Boston,MA) → 244 (Boston,MA) → 162 (Boston,MA) → 23 (Charlestown,MA) → 255 (Charlestown,MA) → 0 (DC)"
Mon R3,Mon,3,2,402.0,325,3200,10.2,No,10.05,11.05,Yes,0 → 175 → 258 → 0,"0 (DC) → 175 (Burlington,VT) → 258 (Burlington,VT) → 0 (DC)"
Mon R4,Mon,4,13,270.0,2261,3200,70.7,No,6.75,13.25,Yes,0 → 217 → 155 → 45 → 223 → 152 → 58 → 80 → 192 → 15 → 168 → 117 → 90 → 178 → 0,"0 (DC) → 217 (Storrs Mansfield,CT) → 155 (Manchester,CT) → 45 (East Hartford,CT) → 223 (Hartford,CT) → 152 (Hartford,CT) → 58 (Hartford,CT) → 80 (Hartford,CT) → 192 (Hartford,CT) → 15 (Windsor,CT) → 168 (Windsor Locks,CT) → 117 (Auburndale,MA) → 90 (West Roxbury,MA) → 178 (Brighton,MA) → 0 (DC)"
Mon R5,Mon,5,12,292.0,2182,3200,68.2,No,7.3,13.3,Yes,0 → 251 → 188 → 32 → 201 → 20 → 67 → 207 → 237 → 76 → 120 → 40 → 180 → 0,"0 (DC) → 251 (Billerica,MA) → 188 (Weston,MA) → 32 (Weston,MA) → 201 (Marlborough,MA) → 20 (Westborough,MA) → 67 (Dayville,CT) → 207 (Groton,CT) → 237 (Groton,CT) → 76 (New London,CT) → 120 (New London,CT) → 40 (Colchester,CT) → 180 (Bolton,CT) → 0 (DC)"
Tue R1,Tue,1,1,0.0,491,3200,15.3,No,0.0,0.5,Yes,0 → 7 → 0,"0 (DC) → 7 (Wilmington,MA) → 0 (DC)"
Tue R2,Tue,2,10,353.0,1749,3200,54.7,No,8.82,13.82,Yes,0 → 39 → 52 → 74 → 57 → 150 → 50 → 121 → 88 → 187 → 211 → 0,"0 (DC) → 39 (West Hartland,CT) → 52 (Farmington,CT) → 74 (Bethany,CT) → 57 (Middletown,CT) → 150 (Middletown,CT) → 50 (Glastonbury,CT) → 121 (Glastonbury,CT) → 88 (Manchester,CT) → 187 (Cambridge,MA) → 211 (Cambridge,MA) → 0 (DC)"
Tue R3,Tue,3,10,254.0,2028,3200,63.4,No,6.35,11.35,Yes,0 → 78 → 108 → 176 → 254 → 148 → 216 → 235 → 177 → 133 → 179 → 0,"0 (DC) → 78 (Billerica,MA) → 108 (Billerica,MA) → 176 (Bedford,MA) → 254 (Hartford,CT) → 148 (Hartford,CT) → 216 (Hartford,CT) → 235 (Hartford,CT) → 177 (Hartford,CT) → 133 (Enfield,CT) → 179 (Enfield,CT) → 0 (DC)"
Tue R4,Tue,4,9,267.0,1620,3200,50.6,No,6.68,11.18,Yes,0 → 92 → 221 → 29 → 101 → 49 → 243 → 68 → 26 → 212 → 0,"0 (DC) → 92 (Boston,MA) → 221 (Chestnut Hill,MA) → 29 (Groton,CT) → 101 (New London,CT) → 49 (New London,CT) → 243 (New London,CT) → 68 (Groton,CT) → 26 (Wellesley Hills,MA) → 212 (Weston,MA) → 0 (DC)"
Tue R5,Tue,5,7,396.0,1789,3200,55.9,No,9.9,13.4,Yes,0 → 105 → 60 → 153 → 224 → 18 → 107 → 125 → 0,"0 (DC) → 105 (Shelton,CT) → 60 (Norwalk,CT) → 153 (Stamford,CT) → 224 (Stamford,CT) → 18 (Greenwich,CT) → 107 (Stamford,CT) → 125 (Stamford,CT) → 0 (DC)"
Tue R6,Tue,6,13,48.0,2357,3200,73.7,No,1.2,7.7,Yes,0 → 122 → 51 → 33 → 42 → 163 → 9 → 10 → 34 → 186 → 71 → 239 → 72 → 140 → 0,"0 (DC) → 122 (Boston,MA) → 51 (Boston,MA) → 33 (Boston,MA) → 42 (Boston,MA) → 163 (Cambridge,MA) → 9 (Cambridge,MA) → 10 (Boston,MA) → 34 (Boston,MA) → 186 (Cambridge,MA) → 71 (Cambridge,MA) → 239 (Cambridge,MA) → 72 (Boston,MA) → 140 (Boston,MA) → 0 (DC)"
Tue R7,Tue,7,3,239.0,586,3200,18.3,No,5.98,7.48,Yes,0 → 146 → 4 → 22 → 0,"0 (DC) → 146 (Hanover,NH) → 4 (North Andover,MA) → 22 (North Andover,MA) → 0 (DC)"
