Route,Day,Route_Num,Stops,Miles,Cube_ft3,Van_Capacity,Util_Pct,Overnight,D1_Drive_h,D1_Duty_h,D2_Drive_h,D2_Duty_h,Total_Drive_h,Total_Duty_h,Feasible,Order_IDs,Route_Sequence
Mon R1,Mon,1,8,382.0,2615,3200,81.7,No,9.55,13.79,0,0,9.55,13.79,Yes,0 → 104 → 14 → 241 → 85 → 87 → 250 → 109 → 128 → 0,"0 (DC) → 104 (Hartford,CT) → 14 (Farmington,CT) → 241 (Bethany,CT) → 85 (Fairfield,CT) → 87 (Wilton,CT) → 250 (Hamden,CT) → 109 (Middletown,CT) → 128 (Middletown,CT) → 0 (DC)"
Mon R2,Mon,2,17,660.0,2936,3200,91.8,Yes,7.0,14.0,9.5,11.0,16.5,25.0,Yes,0 → 162 → 178 → 90 → 117 → 217 → 155 → 45 → 223 → 152 → 58 → 80 → 192 → 15 → 168 → 175 → 258 → 132 → 0,"0 (DC) → 162 (Boston,MA) → 178 (Brighton,MA) → 90 (West Roxbury,MA) → 117 (Auburndale,MA) → 217 (Storrs Mansfield,CT) → 155 (Manchester,CT) → 45 (East Hartford,CT) → 223 (Hartford,CT) → 152 (Hartford,CT) → 58 (Hartford,CT) → 80 (Hartford,CT) → 192 (Hartford,CT) → 15 (Windsor,CT) → 168 (Windsor Locks,CT) → 175 (Burlington,VT) → 258 (Burlington,VT) → 132 (North Berwick,ME) → 0 (DC)"
Mon R3,Mon,3,6,40.0,2490,3200,77.8,No,1.0,4.34,0,0,1.0,4.34,Yes,0 → 209 → 244 → 28 → 70 → 23 → 255 → 0,"0 (DC) → 209 (Boston,MA) → 244 (Boston,MA) → 28 (Boston,MA) → 70 (Boston,MA) → 23 (Charlestown,MA) → 255 (Charlestown,MA) → 0 (DC)"
Mon R4,Mon,4,12,292.0,2182,3200,68.2,No,7.3,13.3,0,0,7.3,13.3,Yes,0 → 251 → 188 → 32 → 201 → 20 → 67 → 207 → 237 → 76 → 120 → 40 → 180 → 0,"0 (DC) → 251 (Billerica,MA) → 188 (Weston,MA) → 32 (Weston,MA) → 201 (Marlborough,MA) → 20 (Westborough,MA) → 67 (Dayville,CT) → 207 (Groton,CT) → 237 (Groton,CT) → 76 (New London,CT) → 120 (New London,CT) → 40 (Colchester,CT) → 180 (Bolton,CT) → 0 (DC)"
Tue R1,Tue,1,1,0.0,491,3200,15.3,No,0.0,0.5,0,0,0.0,0.5,Yes,0 → 7 → 0,"0 (DC) → 7 (Wilmington,MA) → 0 (DC)"
Tue R2,Tue,2,18,465.0,3143,3200,98.2,Yes,8.0,14.0,3.62,6.62,11.62,20.62,Yes,0 → 68 → 29 → 101 → 49 → 243 → 57 → 150 → 50 → 88 → 52 → 39 → 74 → 121 → 212 → 26 → 221 → 187 → 211 → 0,"0 (DC) → 68 (Groton,CT) → 29 (Groton,CT) → 101 (New London,CT) → 49 (New London,CT) → 243 (New London,CT) → 57 (Middletown,CT) → 150 (Middletown,CT) → 50 (Glastonbury,CT) → 88 (Manchester,CT) → 52 (Farmington,CT) → 39 (West Hartland,CT) → 74 (Bethany,CT) → 121 (Glastonbury,CT) → 212 (Weston,MA) → 26 (Wellesley Hills,MA) → 221 (Chestnut Hill,MA) → 187 (Cambridge,MA) → 211 (Cambridge,MA) → 0 (DC)"
Tue R3,Tue,3,13,579.0,3008,3200,94.0,Yes,9.0,14.0,5.48,6.98,14.48,20.98,Yes,0 → 78 → 108 → 176 → 105 → 60 → 153 → 224 → 18 → 107 → 125 → 146 → 4 → 22 → 0,"0 (DC) → 78 (Billerica,MA) → 108 (Billerica,MA) → 176 (Bedford,MA) → 105 (Shelton,CT) → 60 (Norwalk,CT) → 153 (Stamford,CT) → 224 (Stamford,CT) → 18 (Greenwich,CT) → 107 (Stamford,CT) → 125 (Stamford,CT) → 146 (Hanover,NH) → 4 (North Andover,MA) → 22 (North Andover,MA) → 0 (DC)"
Tue R4,Tue,4,14,49.0,2583,3200,80.7,No,1.23,8.22,0,0,1.23,8.22,Yes,0 → 122 → 51 → 33 → 42 → 163 → 9 → 10 → 34 → 186 → 71 → 239 → 92 → 72 → 140 → 0,"0 (DC) → 122 (Boston,MA) → 51 (Boston,MA) → 33 (Boston,MA) → 42 (Boston,MA) → 163 (Cambridge,MA) → 9 (Cambridge,MA) → 10 (Boston,MA) → 34 (Boston,MA) → 186 (Cambridge,MA) → 71 (Cambridge,MA) → 239 (Cambridge,MA) → 92 (Boston,MA) → 72 (Boston,MA) → 140 (Boston,MA) → 0 (DC)"
Tue R5,Tue,5,12,613.0,2312,3200,72.2,Yes,11.0,13.5,4.32,7.82,15.32,21.32,Yes,0 → 234 → 181 → 182 → 66 → 8 → 254 → 148 → 216 → 235 → 177 → 133 → 179 → 0,"0 (DC) → 234 (Dover,NH) → 181 (Parsonsfield,ME) → 182 (Rumford,ME) → 66 (Wenham,MA) → 8 (Lynn,MA) → 254 (Hartford,CT) → 148 (Hartford,CT) → 216 (Hartford,CT) → 235 (Hartford,CT) → 177 (Hartford,CT) → 133 (Enfield,CT) → 179 (Enfield,CT) → 0 (DC)"
Wed R1,Wed,1,2,12.0,2800,3200,87.5,No,0.3,2.15,0,0,0.3,2.15,Yes,0 → 6 → 135 → 0,"0 (DC) → 6 (Tewksbury,MA) → 135 (Tewksbury,MA) → 0 (DC)"
